time_B1,time_B2,time_B3,sfYFP_1,sfYFP_2,sfYFP_3,OD600_1,OD600_2,OD600_3,OD600_4,OD600_5,OD600_6
0.0,0.0,0.0,0.0,0.0,0.0,0.006000000000000005,0.007999999999999993,0.006000000000000005,0.0020000000000000018,0.0030000000000000027,0.0040000000000000036
10.092592592592593,10.092592592592593,10.092592592592593,139.69526900000005,939.1449189999998,271.4025849999998,0.007000000000000006,0.007999999999999993,0.006000000000000005,0.0020000000000000018,0.0050000000000000044,0.0040000000000000036
20.185185185185187,20.185185185185187,20.185185185185187,214.1148679999999,997.9826789999997,157.59855799999968,0.007000000000000006,0.008999999999999994,0.007000000000000006,0.0020000000000000018,0.0040000000000000036,0.0050000000000000044
30.27777777777778,30.27777777777778,30.27777777777778,460.670341,1163.5838469999999,916.3528269999997,0.008999999999999994,0.009999999999999995,0.007999999999999993,0.0020000000000000018,0.0050000000000000044,0.0050000000000000044
40.370370370370374,40.370370370370374,40.370370370370374,202.50754000000006,1735.2456349999998,875.5648160000001,0.010999999999999996,0.012999999999999998,0.009999999999999995,0.0030000000000000027,0.006000000000000005,0.006000000000000005
50.46296296296297,50.46296296296297,50.46296296296297,500.46588799999995,1812.7724400000002,943.5612969999997,0.015,0.016,0.012999999999999998,0.0040000000000000036,0.007999999999999993,0.007000000000000006
60.55555555555556,60.55555555555556,60.55555555555556,909.8514240000002,2462.858802,1570.2277909999998,0.020000000000000004,0.020000000000000004,0.018000000000000002,0.0040000000000000036,0.011999999999999997,0.008999999999999994
70.64814814814815,70.64814814814815,70.64814814814815,725.175712,2801.6486739999996,1808.7333349999994,0.024999999999999998,0.024999999999999998,0.023000000000000007,0.0050000000000000044,0.013999999999999999,0.009999999999999995
80.74074074074075,80.74074074074075,80.74074074074075,1547.339181,3959.058499,2354.9332339999996,0.031,0.032,0.026999999999999996,0.007000000000000006,0.017,0.011999999999999997
90.83333333333334,90.83333333333334,90.83333333333334,1481.639374,4361.9390189999995,2982.4860089999997,0.038000000000000006,0.03900000000000001,0.035,0.008999999999999994,0.021000000000000005,0.016
100.92592592592594,100.92592592592594,100.92592592592594,1940.7630579999998,5946.505695,3462.079271,0.043,0.044,0.040999999999999995,0.010999999999999996,0.024999999999999998,0.019000000000000003
111.01851851851853,111.01851851851853,111.01851851851853,2533.5146269999996,7446.526773,4421.829448,0.054000000000000006,0.054000000000000006,0.049,0.012999999999999998,0.03,0.023000000000000007
121.11111111111111,121.11111111111111,121.11111111111111,3607.22134,8742.849573,6433.483220999999,0.06499999999999999,0.06499999999999999,0.05900000000000001,0.015,0.036000000000000004,0.027999999999999997
131.20370370370372,131.20370370370372,131.20370370370372,4672.028356,9162.321503,7229.655176,0.08,0.077,0.074,0.020000000000000004,0.047,0.037000000000000005
141.2962962962963,141.2962962962963,141.2962962962963,5659.5025829999995,10367.557953,8245.06417,0.105,0.09699999999999999,0.09799999999999999,0.023999999999999994,0.05900000000000001,0.046
151.3888888888889,151.3888888888889,151.3888888888889,7339.478023,11271.681993,8976.265949999999,0.129,0.125,0.12100000000000001,0.028999999999999998,0.073,0.05600000000000001
161.4814814814815,161.4814814814815,161.4814814814815,8277.442006,11657.578432999999,10490.13198,0.14300000000000002,0.14600000000000002,0.14700000000000002,0.035,0.086,0.06699999999999999
171.57407407407408,171.57407407407408,171.57407407407408,8835.316219,13003.202523,10194.80375,0.15500000000000003,0.175,0.15000000000000002,0.046,0.09799999999999999,0.078
181.66666666666669,181.66666666666669,181.66666666666669,10251.492318999999,13416.097533,12581.94816,0.179,0.178,0.16599999999999998,0.05600000000000001,0.111,0.09100000000000001
191.75925925925927,191.75925925925927,191.75925925925927,11383.265569,14905.986113,12974.69027,0.187,0.2,0.178,0.06799999999999999,0.12000000000000001,0.09999999999999999
201.85185185185188,201.85185185185188,201.85185185185188,12451.634409,16319.832643,14031.833389999998,0.203,0.21599999999999997,0.194,0.082,0.134,0.112
211.94444444444446,211.94444444444446,211.94444444444446,12875.695088999999,19327.647423000002,16359.826749999998,0.22399999999999998,0.22999999999999998,0.21299999999999997,0.09899999999999999,0.15100000000000002,0.12400000000000001
222.03703703703707,222.03703703703707,222.03703703703707,14063.645789,23049.479633000003,19043.35985,0.241,0.245,0.239,0.116,0.171,0.14
232.12962962962965,232.12962962962965,232.12962962962965,15468.446079,26823.743913000002,23137.98023,0.258,0.262,0.257,0.11900000000000001,0.192,0.15799999999999997
242.22222222222223,242.22222222222223,242.22222222222223,17875.422249000003,32457.611673,24945.2482,0.27199999999999996,0.27199999999999996,0.26599999999999996,0.128,0.21399999999999997,0.178
252.31481481481484,252.31481481481484,252.31481481481484,20065.805869,39864.587993,32585.789030000004,0.285,0.286,0.281,0.14300000000000002,0.24,0.201
262.40740740740745,262.40740740740745,262.40740740740745,22981.665389,44250.492543,38533.138459999995,0.297,0.298,0.291,0.16199999999999998,0.258,0.22499999999999998
272.5,272.5,272.5,27704.820119,51379.590503,43123.453839999995,0.309,0.31,0.303,0.182,0.27199999999999996,0.245
282.5925925925926,282.5925925925926,282.5925925925926,34004.983269,54032.464273,48629.05295,0.321,0.321,0.319,0.20399999999999996,0.286,0.259
292.6851851851852,292.6851851851852,292.6851851851852,38996.036339,55486.339313000004,51748.453369999996,0.33099999999999996,0.33099999999999996,0.325,0.22699999999999998,0.299,0.26999999999999996
302.7777777777778,302.7777777777778,302.7777777777778,44076.658909,53665.829473,53427.80324,0.345,0.343,0.33599999999999997,0.248,0.313,0.283
